iter	Accuracy	Logloss
0	0.8610431283	0.6506549145
1	0.8749660086	0.6101233406
2	0.8737695111	0.5741791833
3	0.8623483983	0.5420039708
4	0.8608799695	0.5144309814
5	0.870071246	0.4915202719
6	0.870071246	0.4704924421
7	0.8677326372	0.4509316785
8	0.8677326372	0.4344964858
9	0.8688203622	0.4205413618
10	0.8688203622	0.4077868293
11	0.8756730299	0.3944610899
12	0.8758905749	0.3845580983
13	0.8777940937	0.3737915732
14	0.8780116387	0.3651645927
15	0.8783379562	0.356297875
16	0.8786098874	0.3488401529
17	0.88393974	0.341578799
18	0.8855713276	0.3358490483
19	0.8867678251	0.3307478782
20	0.8882906401	0.3252912433
21	0.8888345026	0.3201220294
22	0.893022244	0.3155454885
23	0.8929134715	0.3116994839
24	0.8950345353	0.3081591968
25	0.8953608528	0.3044544167
26	0.8972099853	0.3007135312
27	0.8974819166	0.2971922247
28	0.8973731441	0.2943953589
29	0.8975906891	0.2916415212
30	0.8984064828	0.2891629053
31	0.8990047316	0.2867547266
32	0.8986784141	0.2843959154
33	0.8989503454	0.2823608975
34	0.8999836841	0.280215807
35	0.8996029804	0.2780980529
36	0.9003100016	0.2759381376
37	0.9002556154	0.2743629906
38	0.9002556154	0.2725346021
39	0.8997661391	0.2708314436
40	0.9001468429	0.2691008907
41	0.9003100016	0.2677708255
42	0.9005819329	0.2666566171
43	0.9006907054	0.2650862506
44	0.9011257954	0.263660237
45	0.9014521129	0.2624322994
46	0.9011801817	0.2615155094
47	0.9018872029	0.2601497508
48	0.9019415892	0.2589506148
49	0.9020503617	0.2578839181
50	0.9020503617	0.2569858567
51	0.9021591342	0.2559700547
52	0.9023222929	0.2553140461
53	0.9023222929	0.2545937126
54	0.9024310654	0.2537648137
55	0.9031380867	0.2532515052
56	0.9034100179	0.2524746625
57	0.9037363355	0.2517616457
58	0.9037363355	0.2509271438
59	0.9039538805	0.2503951386
60	0.9040082667	0.2497984373
61	0.904062653	0.2492467685
62	0.9036819492	0.2485580123
63	0.9039538805	0.2477736803
64	0.9037363355	0.2471279649
65	0.9038994942	0.2465503265
66	0.9042258117	0.2461303534
67	0.9040082667	0.2456301269
68	0.9041714255	0.2451102805
69	0.9041714255	0.2447128684
70	0.9043889705	0.2443622639
71	0.9041714255	0.2438383824
72	0.9043345842	0.24354024
73	0.9042258117	0.2431605199
74	0.904280198	0.2425198255
75	0.9043345842	0.2421241578
76	0.9047696742	0.2417169218
77	0.9046065155	0.241336263
78	0.904497743	0.2410404785
79	0.9045521292	0.2406637828
80	0.904715288	0.2403626432
81	0.9048784467	0.2399827566
82	0.9052047642	0.2396525986
83	0.9054766955	0.2394152328
84	0.9052591505	0.2391345383
85	0.9053135367	0.238914631
86	0.9050416055	0.2385822515
87	0.9054223092	0.2380698991
88	0.9056398542	0.2378519171
89	0.9054766955	0.237593951
90	0.9052047642	0.2374269934
91	0.9054766955	0.2369730936
92	0.9056398542	0.236801657
93	0.9056942405	0.2366123565
94	0.9057486267	0.2361632383
95	0.9056942405	0.2359103363
96	0.9056942405	0.2356977978
97	0.9056942405	0.235486785
98	0.9058573992	0.2353180955
99	0.9055310817	0.2350388867
100	0.905585468	0.2348427862
101	0.9055310817	0.234665489
102	0.9058573992	0.2344495714
103	0.9058573992	0.2342816035
104	0.9059661718	0.2339525794
105	0.9059661718	0.2336643058
106	0.905803013	0.2335102515
107	0.9059661718	0.2332651648
108	0.9059117855	0.2331120971
109	0.9057486267	0.2330359012
