iter	Passed	Remaining
0	40	40059
1	71	35849
2	99	32930
3	140	34995
4	157	31388
5	175	29034
6	192	27313
7	208	25880
8	226	24966
9	248	24631
10	278	24997
11	323	26617
12	340	25845
13	360	25366
14	377	24781
15	395	24329
16	413	23933
17	430	23496
18	482	24937
19	501	24588
20	520	24283
21	539	23999
22	558	23703
23	577	23474
24	596	23249
25	614	23006
26	631	22754
27	650	22587
28	669	22406
29	703	22742
30	721	22542
31	739	22370
32	757	22192
33	776	22061
34	796	21955
35	815	21830
36	833	21702
37	853	21614
38	873	21532
39	893	21434
40	915	21416
41	967	22057
42	989	22031
43	1010	21958
44	1031	21884
45	1053	21844
46	1074	21796
47	1095	21731
48	1124	21832
49	1146	21778
50	1166	21702
51	1185	21618
52	1206	21558
53	1227	21496
54	1246	21414
55	1267	21359
56	1287	21298
57	1307	21240
58	1332	21255
59	1385	21699
60	1406	21651
61	1428	21609
62	1449	21556
63	1472	21535
64	1493	21480
65	1515	21442
66	1540	21456
67	1565	21456
68	1587	21424
69	1609	21377
70	1631	21347
71	1654	21324
72	1676	21293
73	1699	21271
74	1724	21268
75	1747	21250
76	1774	21266
77	1800	21284
78	1825	21279
79	1849	21271
80	1874	21262
81	1898	21258
82	1923	21246
83	1947	21236
84	1973	21243
85	2003	21292
86	2031	21314
87	2064	21400
88	2089	21390
89	2112	21360
90	2137	21352
91	2162	21346
92	2185	21318
93	2211	21318
94	2247	21406
95	2270	21379
96	2293	21354
97	2316	21323
98	2340	21302
99	2363	21271
100	2386	21240
101	2410	21219
102	2457	21404
103	2483	21397
104	2507	21376
105	2533	21364
106	2555	21331
107	2578	21299
108	2601	21266
109	2625	21240
110	2647	21206
111	2674	21206
112	2704	21230
113	2730	21221
114	2761	21247
115	2803	21366
116	2834	21390
117	2865	21416
118	2940	21769
119	2971	21790
120	3003	21817
121	3044	21912
122	3074	21923
123	3100	21902
124	3129	21907
125	3160	21921
126	3188	21916
127	3212	21883
128	3243	21897
129	3275	21921
130	3305	21924
131	3329	21896
132	3353	21861
133	3379	21839
134	3410	21852
135	3441	21863
136	3467	21842
137	3493	21822
138	3547	21976
139	3573	21949
140	3600	21935
141	3628	21927
142	3654	21899
143	3681	21884
144	3704	21842
145	3727	21804
146	3753	21780
147	3776	21740
148	3798	21696
149	3824	21671
150	3850	21651
151	3877	21634
152	3901	21598
153	3926	21568
154	3949	21533
155	3973	21500
156	3997	21462
157	4028	21468
158	4055	21451
159	4086	21452
160	4113	21438
161	4140	21417
162	4181	21471
163	4206	21442
164	4236	21439
165	4266	21436
166	4293	21417
167	4319	21391
168	4347	21375
169	4368	21330
170	4408	21373
171	4432	21336
172	4458	21313
173	4484	21289
174	4517	21295
175	4544	21276
176	4567	21238
177	4595	21221
178	4621	21196
179	4645	21161
180	4674	21153
181	4700	21128
182	4726	21101
183	4749	21062
184	4772	21022
185	4795	20985
186	4818	20948
187	4840	20908
188	4862	20863
189	4889	20843
190	4912	20806
191	4936	20774
192	4960	20739
193	4982	20698
194	5005	20664
195	5032	20642
196	5057	20615
197	5081	20582
198	5106	20556
199	5134	20537
200	5158	20506
201	5189	20501
202	5212	20463
203	5236	20433
204	5258	20392
205	5281	20356
206	5305	20324
207	5333	20307
208	5357	20276
209	5381	20244
210	5403	20206
211	5425	20166
212	5450	20138
213	5476	20114
214	5500	20084
215	5528	20065
216	5569	20095
217	5613	20134
218	5647	20141
219	5674	20120
220	5704	20109
221	5794	20306
222	5821	20283
223	5850	20268
224	5879	20251
225	5908	20236
226	5935	20212
227	5965	20198
228	5996	20190
229	6029	20185
230	6064	20188
231	6109	20224
232	6136	20201
233	6164	20180
234	6200	20185
235	6235	20185
236	6268	20180
237	6297	20162
238	6325	20142
239	6357	20131
240	6388	20120
241	6432	20146
242	6462	20133
243	6494	20122
244	6540	20155
245	6570	20140
246	6605	20137
247	6632	20111
248	6669	20114
249	6696	20088
250	6729	20079
251	6762	20071
252	6804	20090
253	6835	20075
254	6870	20073
255	6905	20070
256	6941	20068
257	6985	20090
258	7013	20066
259	7056	20083
260	7092	20083
261	7151	20143
262	7179	20118
263	7255	20227
264	7288	20215
265	7327	20218
266	7364	20218
267	7389	20183
268	7417	20156
269	7444	20128
270	7470	20096
271	7495	20062
272	7520	20026
273	7544	19990
274	7568	19954
275	7595	19925
276	7623	19897
277	7649	19866
278	7674	19833
279	7698	19796
280	7722	19758
281	7745	19720
282	7786	19726
283	7812	19695
284	7849	19692
285	7871	19651
286	7895	19615
287	7920	19580
288	7942	19539
289	7965	19501
290	7990	19468
291	8014	19432
292	8040	19402
293	8068	19375
294	8103	19367
295	8129	19334
296	8153	19298
297	8176	19262
298	8200	19226
299	8225	19193
300	8252	19164
301	8280	19137
302	8305	19105
303	8330	19072
304	8354	19036
305	8377	19000
306	8401	18965
307	8427	18934
308	8451	18899
309	8476	18868
310	8505	18842
311	8530	18810
312	8555	18778
313	8579	18744
314	8605	18713
315	8630	18681
316	8652	18643
317	8676	18607
318	8699	18572
319	8726	18543
320	8750	18510
321	8774	18475
322	8797	18439
323	8818	18399
324	8840	18360
325	8863	18325
326	8886	18289
327	8910	18256
328	8945	18244
329	8970	18212
330	8992	18174
331	9014	18137
332	9036	18101
333	9060	18067
334	9083	18030
335	9114	18011
336	9139	17981
337	9165	17950
338	9190	17919
339	9214	17887
340	9241	17860
341	9263	17823
342	9287	17789
343	9310	17754
344	9335	17723
345	9359	17690
346	9387	17665
347	9414	17637
348	9448	17623
349	9484	17613
350	9518	17599
351	9565	17609
352	9596	17588
353	9630	17574
354	9666	17563
355	9751	17639
356	9780	17615
357	9811	17595
